Payer,Bankruptcy month,FLAG_BAD_DEBT,# POCs,Rent,Average Receivables,Average Overdue,Payment Term Days,Payment Behavior Status,Credit Limit,Std Dev AR,Max Credit Utilization,Avg Credit Utilization,fb_rating
30123845,01-01-2019,0,1,0,36267.91,-35159.53,30,EXCELLENT,10000,0.248854132,-3.520062,-3.735576,0
30155541,01-06-2019,0,1,0,0,0,28,EXCELLENT,2500,0,0,0,0
30155542,01-06-2019,0,1,0,472.755,0,14,EXCELLENT,2500,0.160888024,0.29374,0.117496,0
30155543,01-03-2019,0,2,0,7404.543333,0,28,EXCELLENT,8300,0.026560199,0.167201205,0.144199398,0
30155546,01-01-2019,0,1,0,0,-524.75,14,EXCELLENT,2500,0,-0.2099,-0.2099,4.9
30155554,01-01-2019,0,1,9008.76,17980.69833,0,14,EXCELLENT,20600,0.118655127,0.427715049,0.324559587,4.6
30155555,01-07-2019,0,1,0,0,0,14,EXCELLENT,2500,0,0,0,0
30155558,01-03-2019,0,1,0,0,-546.02,28,EXCELLENT,2500,0,-0.218408,-0.218408,4.3
30155560,01-12-2019,0,1,0,5448.075,-43.62666667,21,GOOD,10300,0.14020635,0.467747573,0.358869903,0
30155564,01-01-2019,0,1,0,0,0,28,EXCELLENT,2500,0,0,0,0
30155566,01-01-2019,0,1,0,2457.893333,804.885,28,AVERAGE,9200,0.196625783,0.45851413,0.167282337,0
30155590,01-04-2019,0,4,0,67198.55333,0,14,EXCELLENT,8600,0.181606056,0.743225581,0.540730233,0
30155593,01-11-2019,0,1,0,2690.563333,0,28,EXCELLENT,11900,0.040109598,0.255981513,0.205425,4.7
30155595,01-06-2019,0,1,0,8132.306667,0,14,EXCELLENT,9800,0.191241521,0.456432653,0.277425102,0
30155607,01-07-2019,0,1,0,0,0,14,EXCELLENT,2500,0,0,0,0
30155608,01-12-2019,0,1,0,0,0,14,EXCELLENT,2500,0,0,0,0
30155611,01-01-2019,0,1,0,412.64,0,28,GOOD,2500,0,0,0,0
30155612,01-01-2019,0,1,4812.76,6227.38,0,10,EXCELLENT,2500,0.099252677,0.3335,0.251291,0
30155614,01-03-2019,0,1,0,14700.42,-147.67,28,EXCELLENT,14900,0.079588819,0.692265772,0.577979362,4.7
30155615,01-05-2019,0,1,3885.7,17531.21667,0,14,EXCELLENT,13100,0.346397622,1.068228244,0.559908206,4.9
30155617,01-05-2019,0,1,0,3921.165,0,28,EXCELLENT,9500,0.010334211,0.246315789,0.241148684,4.8
30155630,01-03-2019,0,2,0,0,-452.74,30,EXCELLENT,3600,0,-0.062880556,-0.062880556,0
30155633,01-11-2019,0,6,0,91846.7,-21342.87,30,GOOD,47578,0.081128191,0.222209845,0.168814683,0
30155637,01-06-2019,0,1,0,739.6316667,0,9,EXCELLENT,2500,0.088136855,0.19708,0.039416,0
30155639,01-06-2019,0,1,0,47383.02,0,30,GOOD,28400,0.117501261,0.367327113,0.22525669,0
30155644,01-04-2019,0,1,0,3328.635,0,28,EXCELLENT,4300,0.18137388,0.901130233,0.704895814,0
30155648,01-01-2019,0,1,0,2007.956667,0,14,EXCELLENT,2500,0.422903332,1.18042,0.660983,4.7
30155649,01-11-2019,0,1,0,826.4766667,-181.1133333,14,EXCELLENT,8000,0,-0.03973625,-0.03973625,0
30155652,01-08-2019,0,1,18162.2,23998.33667,-65.54,21,EXCELLENT,19600,0.20119087,0.824386224,0.534658163,4.4
30155653,01-04-2019,0,1,0,2233.193333,206.07,14,GOOD,2500,0.035409168,0.400056,0.3612672,0
30155655,01-10-2019,0,1,0,0,0,14,EXCELLENT,4000,0,0,0,0
30155657,01-07-2019,0,1,0,1607.418333,-367.6333333,14,EXCELLENT,2500,0,-0.072004,-0.072004,0
30155662,01-06-2019,0,2,11268.8,30046.93333,0,21,EXCELLENT,10600,0.195256265,0.710557547,0.424573019,2.1
30155667,01-06-2019,0,1,0,4946.123333,-65.43666667,14,EXCELLENT,2800,0.243780687,0.729335714,0.489647857,4.9
30155669,01-07-2019,0,1,8440.7,9692.48,0,28,EXCELLENT,9700,0.214760169,0.748075258,0.631647423,4.4
30155673,01-12-2019,0,1,0,35.83166667,0,14,AVERAGE,2500,0,0,0,0
30155676,01-05-2019,0,4,0,33106.52667,0,14,EXCELLENT,4400,1.22610367,2.174061364,1.075144318,0
30155684,01-09-2019,0,1,8710.5,9170.203333,753.1233333,28,STRUCTURAL OFFENDER,0.01,0,455231,364184.8,3.5
30155685,01-01-2019,0,1,0,2850.285,0,14,EXCELLENT,2700,0.132667585,0.60857037,0.444000926,3.5
30155691,01-09-2019,0,1,0,5971.268333,0,21,EXCELLENT,7600,0.840235647,2.019932895,1.117343421,0
30155693,01-05-2019,0,2,28632.18,53789.35667,-20641.78667,14,AVERAGE,2500,0,-2.73E-16,-2.73E-16,4.4
30155694,01-06-2019,0,1,32733.36,35440.93333,0,49,EXCELLENT,39000,0.058358748,0.706738462,0.640165641,0
30155695,01-07-2019,0,3,11114.32,34339.395,-12.975,28,EXCELLENT,6300,0.212370985,2.080611111,1.786931746,3.333333333
30155696,01-11-2019,0,1,0,6762.67,-416.4966667,14,GOOD,11200,0.074190332,0.295669643,0.188700223,0
30155698,01-12-2019,0,1,0,86.08166667,0,9,STRUCTURAL OFFENDER,2500,0,0,0,0
