Payer,Bankruptcy month,FLAG_BAD_DEBT,# POCs,Rent,Perc Rent,Average Receivables,Average Overdue,Overdue,1 - 29 Days,30 - 59 Days,60 - 89 Days,Payment Term,Payment Term Days,Payment Behavior Status,Credit Limit,Std Dev AR,Max Credit Utilization,Avg Credit Utilization,Score Interval,Volume Variance,fb_likes,fb_rating,ta_reviews_average,w_avg_rating,FLAG_RENT_0,FLAG_RENT_1,sub_segment_Beer Bar,sub_segment_Beer bar,sub_segment_Bistro,sub_segment_Local Bar,sub_segment_Lounge Bar,sub_segment_Not applicable,sub_segment_Party Club,sub_segment_Party Pub,sub_segment_Quick Dining,sub_segment_Recreational,sub_segment_Restaurant,sub_segment_Sports Bar,sub_segment_Sports Club,poc_image_Mainstream,poc_image_Premium
30123845,2019-01-01,0,1,0.0,0.0,36267.91,-35159.53,-39510.9,3099.72,-16379.22,-6280.56,030I,30,EXCELLENT,10000.0,0.2488541318,-3.520062,-3.735576,646.8114,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30155541,2019-06-01,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,2500.0,0.0,0.0,0.0,0.0,0.7797344778977047,0.0,0.0,0.0,4.6,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30155542,2019-06-01,0,1,0.0,0.0,472.755,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,2500.0,0.16088802404000002,0.29374,0.117496,721.68168,0.7797344778977047,0.0,0.0,0.0,4.6,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30155543,2019-03-01,0,2,0.0,0.0,7404.543333333332,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,8300.0,0.026560199192771087,0.1672012048192771,0.14419939759036146,708.6516799999998,4.2294733509712135,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
30155546,2019-01-01,0,1,0.0,0.0,0.0,-524.75,-524.75,0.0,0.0,0.0,014I,14,EXCELLENT,2500.0,0.0,-0.2099,-0.2099,708.6516799999998,5.235276259866424,0.0,4.9,4.5,4.7529801324503325,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30155554,2019-01-01,0,1,9008.76,1.9959126820265312,17980.698333333334,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,20600.0,0.11865512650485435,0.42771504854368936,0.3245595873786408,698.21108,5.772308370445078,0.0,4.6,4.5,4.591176470588235,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30155555,2019-07-01,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,2500.0,0.0,0.0,0.0,708.6516799999998,2.217266072565245,0.0,0.0,3.5,4.093359375,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30155558,2019-03-01,0,1,0.0,0.0,0.0,-546.02,-546.02,0.0,0.0,0.0,028I,28,EXCELLENT,2500.0,0.0,-0.218408,-0.218408,721.68168,3.5693239172669053,0.0,4.3,4.0,4.17007874015748,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30155560,2019-12-01,0,1,0.0,0.0,5448.075000000002,-43.62666666666666,0.0,0.0,0.0,0.0,021I,21,GOOD,10300.0,0.14020634980582525,0.46774757281553403,0.3588699029126214,670.062,1.0409451686617823,0.0,0.0,0.0,3.7,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
30155564,2019-01-01,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,2500.0,0.0,0.0,0.0,708.6516799999998,0.96,0.0,0.0,0.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
